mp_name,body,date,debate_title,mp_id,business,immigration,counter terrorism,syria,private housing,banking,tribunal,bbc,police force,parliamentary terms,secretary of state terms,local authority,domestic violence,airport and rail expansion,scotland,parliamentary terms+,single market (?),drugs and alcohol,middle east,care quality commission,speaker of the house,nhs,farming,law,development & climate change,fishing industry,inquiries & reports,northern ireland,construction,animal welfare,fraud terminology,legislation,bill terminology,regional stuff,elections,local services,energy,welfare reforms,european union,education,money-related terms,pensioner income,child poverty,sports & culture,investment,armed forces,economy,house of lords,employee's rights,nuclear weapons,parliamentary terms++,child care
Jeremy Corbyn,"On a point of order, Madam Speaker. I do not know whether you are aware of the fact, but the Office of the Passenger Rail Franchising Director has issued a press release that is not allowed to be taken out of this country. A note to editors says:
This notice must not be taken to the USA or Canada
or to certain other European countries. Apparently, use of the notice would make the sale of British Rail's stock and services illegal within those countries because of the level of subsidy involved. It seems extraordinary that private notes should be sent to newspaper editors about what can or cannot be exported, yet the House apparently has no prospect of hearing a statement from the Minister about exactly what he is proposing on such matters. Can you help us?",1995-05-15 00:00:00,Prayers: Points of Order,10133,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.49,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.92,-inf,-inf,-1.30,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.66,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.95,-inf,-inf,-inf,-inf
Jeremy Corbyn,"I thank the hon. Gentleman for giving way. He is obviously not aware that very large numbers of people in this county feel passionately about inequality in the world, about the Ebola crisis and about many other crises, and that they believe that donating money, through the taxpayer and individually, to help to alleviate that terrible suffering involves a moral duty as well as a public good.",2014-12-05 00:00:00,New Clause 7 &#8212; Applicability and expiry of the provisions of this Act,10133,-inf,-0.82,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.96,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.76,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.98,-inf,-inf,-inf,-inf,-inf,-0.72,-inf,-inf
Jeremy Corbyn,"I am pleased that the hon. Gentleman has mentioned the seriousness of this part of the Bill. In his view, is it possible that information could be shared between Departments about people's opinions, activities and knowledge, rather than any criminal actions or convictions? The Secretary of State must be well aware of the hurt caused to families when there is an inquest into a death in police custody, for example, and they cannot be represented because they cannot get legal aid. They therefore feel that they have all the powers of the state against them when they are merely trying to achieve truth and justice for their loved ones. Will he think again about the policy of denying legal assistance to people who are going through a terrible crisis in their lives?",2009-01-26 00:00:00,Coroners and Justice Bill,10133,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.80,-inf,-0.32,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.91,-inf,-inf,-inf,-inf,-inf,-0.66,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Jeremy Corbyn,"On a point of order, Mr. Speaker. I want to ask you something, Mr. Speaker, about your ruling. I listened carefully to what you said about the Liberal party receiving funds, but what is not clear from your ruling is whether, if the Liberal party receives money from the British School of Motoring—money which is passed to individual Liberal Members of Parliament—they then fall within the category of those who receive outside sponsorship. If that is the case, what they raised during the debate should fall within the purview of your questioning.",1985-05-08 00:00:00,Members' Interests,10133,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.87,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.63,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.12,-inf,-inf,-inf,-1.09,-inf,-inf,-inf,-0.63,-inf,-inf,-inf,-inf
Jeremy Corbyn,"To ask the Prime Minister if he will list his official engagements for Tuesday 29 January. Will the Prime Minister spend some time today considering the effects of 13 days of war in the Gulf, the deaths of service people, the massive losses of Iraqi civilians, the environmental destruction throughout the region, and the loss of some civil liberties in this country? Will the right hon. Gentleman accordingly join King Hussein of Jordan and the Pope in calling for a ceasefire in the war to enable the problems of the region to be addressed peacefully, as they will all be there at the end of the fighting?",1991-01-29 00:00:00,Oral Answers to Questions &#8212; Prime Minister: Engagements,10133,-inf,-inf,-1.39,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.36,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.09,-inf,-inf,-1.14,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.13,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Jeremy Corbyn,"Will my right hon. Friend concede that the Immigration (Carriers' Liability) Act 1987 and the fines on carriers of people into Britain who are subsequently not admitted have encouraged the growth of unscrupulous agents all round the world, enabling them to make a great deal of money out of the misery and sorrow of some poor and desperate people? Will the Home Secretary give way? Will the right hon. Gentleman take this opportunity to condemn the campaign that is being mounted in some sections of the popular press? That campaign is racist in intent and is against the interests of people who are seeking asylum from situations of great danger. The Home Secretary is promoting his Bill by saying that people who are fleeing from political or social oppression do not deserve to come here and do not deserve political asylum. Because of his fast-track methods, such people may well be returned to face even greater danger to themselves and their families in the countries from which they have come. The proposed legislation undermines the principles of the 1951 Geneva convention. Even Front-Bench Members?",1991-11-05 00:00:00,"Orders of the Day &#8212; Debate on the Address: Rights, Freedoms and Responsibilities",10133,-inf,-0.18,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.47,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.76,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.54,-1.82,-inf,-inf,-inf,-inf,-inf,-1.44
Jeremy Corbyn,"May I take the Secretary of State back to the answer he gave to my right hon. Friend the Member for Tottenham (Mr Lammy)? If a free school is lamentably not performing—failing its children and failing the community—does he agree that it would be much better if that free school were within the orbit of the local authority, which could observe and spot what was going on, give the necessary support and bring the school back into the accountable public sector?",2014-05-12 00:00:00,Oral Answers to Questions &#8212; Defence: Free Schools (Funding),10133,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.92,-1.03,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.83,-inf,-inf,-inf,-0.33,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Jeremy Corbyn,"Will the Minister comment on her discussions with my hon. Friend the Minister for Housing and Planning on the cost of homelessness, especially in London? She seemed to suggest that there would be an increase of 2.7 per cent. in the forthcoming year, which is rather less than the floor increases that she has announced for other services.
Will she also give an indication as to when the Government expect to make an announcement on future housing investment? Does she concede that the terrible housing crisis faced by many in inner London can be adequately solved only by a large public investment in good-quality homes for many of the poorest and most dispossessed people in this country?",2000-11-27 00:00:00,Local Government Finance,10133,-inf,-inf,-inf,-inf,-0.39,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.81,-inf,-inf,-inf,-inf,-inf,-inf,-1.33,-inf,-inf,-inf,-inf,-inf,-inf,-1.04,-inf,-inf,-inf,-0.66,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Jeremy Corbyn,"What monitoring he proposes of the United Nations referendum on the future of the Western Sahara. [20415] Does the Minister recognise that, during the 24 years of Moroccan occupation of Western Sahara, Morocco has constantly obstructed the efforts of the United Nations to bring about peace and to register the people who live or belong to the Western Sahara? Will he ensure that any monitoring that takes place is of the entire process, not merely voting, and that the European Union, the Commonwealth and this country all send observers in the run-up period as well as during the very welcome referendum so that, at last, the people of the Western Sahara can see peace and prosperity, free from military rule?",1998-01-13 00:00:00,Oral Answers to Questions &#8212; Foreign and Commonwealth Affairs: Western Sahara,10133,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.43,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.83,-1.39,-inf,-inf,-0.75,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Jeremy Corbyn,"May I ask the Leader of the House once again to look at the issue of housing in this country? Will he examine the terrible combination of the benefit cap, cuts in benefits altogether and the sky-high private sector rents in London, which are leading to the social cleansing of whole areas of our capital city? We need urgent action on this, including a debate on the need to bring in realistic rent controls so that housing is affordable for everyone in this country, not just the privileged minority.",2014-01-16 00:00:00,Business of the House,10133,-inf,-0.81,-inf,-1.42,-0.31,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.97,-inf,-0.99,-inf,-inf,-inf,-inf,-inf,-1.37,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.33,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Margaret Thatcher,"The work of Westland Helicopters Ltd. for the Ministry of Defence in support of the existing helicopter fleet is worth some £60 million per annum. Negotiations are nearing completion for eight new Sea Kings, worth over £25 million. My right hon. Friend the Secretary of State for Defence announced on 9 April that orders worth over £300 million are planned for an initial batch of 25 utility version EH101 and 16 Lynx helicopters. The question that the hon. Gentleman has put on the Order Paper is about Government contract expenditure committed to Westland since January 1986. On the other matters, I have answered in detail and stand by what I have said. We hope that the development of the EH 101 will proceed satisfactorily so that the orders can be fully and properly negotiated. With regard to work on space, I have nothing to add to what I said previously. As my hon. Friend is aware, we give a subscription of about £100 million to the European Space Agency. At present we simply could not do any more than that because the amount of taxpayers' money that goes to research and development is very considerable. At present, further money is coming from the private sector. [Interruption.]",1987-10-29,Oral Answers to Questions &#8212; Prime Minister: Westland plc,19284,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.68,-inf,-inf,-1.27,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.75,-inf,-0.85,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.83,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.35,-inf,-0.65,-inf,-inf,-inf,-inf,-0.90,-inf,-inf,-inf,-inf,-inf,-inf
Margaret Thatcher,"I look forward to meeting the President of the United States at the Tokyo economic summit in two weeks' time. We look forward to studying the full text of SALT II, which we have not yet seen. The United States has made clear that SALT II will not affect existing co-operation within the Alliance. So far as our own position is concerned, we have received assurances that there is nothing in the agreement to prevent us from ensuring the continuing effectiveness of Britain's nuclear deterrent. I accept entirely what the right hon. Gentleman says. I hope to be discussing these matters with the President at the Tokyo summit. As my hon. Friend knows, the Government's objective is to return Rhodesia to legality and to try to secure the co-operation of as many other nations as possible in that objective. As my hon. Friend also knows, Lord Harlech is visiting many of the front-line States at the moment. We expect to receive his report when he returns in just over a week's time.",1979-06-14,Oral Answers to Questions &#8212; President Carter,19284,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.77,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.99,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.16,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.39,-inf,-inf,-inf,-inf,-inf,-inf,-1.13,-inf,-inf,-inf,-inf,-inf,-inf
Margaret Thatcher,"I have no plans to do so. I warmly congratulate my hon. Friend on his persistence in this matter. He had an Adjournment debate last night, which I naturally took the precaution of reading. I was gratified to see that he quoted me during the course of that debate. My hon. Friend the Minister for Health stated what I warmly agreed with, namely, that we approach the question of small hospitals with considerable sympathy. I hope one day to go to Gidea Park. Perhaps one reason why interest rates are high and money is being attracted away from the building societies is the enormous amount of borrowing which the previous Government did. It was revealed today that the public sector borrowing requirement was £9·2 billion. If the Government do less more money might be available for building societies.",1979-05-24,Oral Answers to Questions &#8212; Gidea Park,19284,-inf,-1.36,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.99,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.71,-1.40,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.75,-inf,-inf,-inf,-0.66,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Margaret Thatcher,"This issue was discussed at the Tokyo summit in June, on which I have already reported to the House. It was agreed there that an International

Energy Technology Group linked to the OECD and the IEA should be created. That group will review the action already being taken and the potential for commercial development of alternative energy sources. I do not think that there is any political difficulty about the development of solar energy. One of the problems is that in this country we should not get much out of expenditure on solar energy. We shall need far more than that. The political difficulties—and they are not party political difficulties—arise on the further development of nuclear energy. As the hon. Gentleman knows, I have made my own views on that matter very clear.",1979-11-20,Oral Answers to Questions &#8212; Oral Answers to Questions: Energy Sources,19284,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.10,-0.73,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.54,-inf,-0.47,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Margaret Thatcher,"I heard a murmur and I thought that perhaps one or two people had misunderstood—[HON. MEMBERS: ""Order.""]. With permission, Mr. Speaker, may I make it clear? The hon. Gentleman will know that the Argentines have been saying that sovereignty must be transferred to them as a precondition of negotiations or at the end of negotiations. We cannot accept that in any way.",1982-05-13,Business of the House,19284,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.45,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.91,-0.40,-inf
Margaret Thatcher,"I have at present no plans to do so. I do not think that the hon. Gentleman can have listened to the reply that I have just given, which is that the unemployment benefit, when the increases announced after the Gracious Speech are in place, will be slightly higher than it was in real terms when we came into office. In so far as that is insufficient, there is, and should be, extra supplementary benefit available. The hon. Gentleman will also be aware that when child benefit is increased in November to the level announced in the last Budget, that also will be at a record level.",1983-07-05,Oral Answers to Questions &#8212; Prime Minister: Trades Union Congress,19284,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.05,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.45,-0.35,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.37
Margaret Thatcher,"On present plans, early next year. As that candidate has had the support of our No. 1 politician in Scotland, the excellent Secretary of State for Scotland, I am sure that he is very pleased. I am sure that there is no better candidate than the young man who is standing for the Conservative Party. I entirely agree with my hon. Friend. Our candidate, Jackson Carlaw, whom I met on Friday night, has found that people there appreciate the opportunity that Conservatives have given them to purchase their council houses, while the Labour Party wants to keep those tenants under control for ever. That contract was put out to tender. We had to purchase the most suitable houses for the people there and to house our troops. The last three in the tender were British firms. It is true that some used Swedish components, but that was because those components were the best available. The policy is to buy British where it is the best available or equal to the best available, but we must insist on purchasing the best available for the purpose.",1982-11-30,Oral Answers to Questions &#8212; Prime Minister: Glasgow,19284,-inf,-inf,-inf,-inf,-0.58,-inf,-inf,-inf,-1.51,-inf,-inf,-inf,-inf,-inf,-1.22,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.80,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.78,-inf,-inf,-inf,-inf,-inf,-inf
Margaret Thatcher,"None, Sir. As I have told the hon. Gentleman many times, I have nothing to add to the many answers and statements that I have given on this matter. I agree with my hon. Friend. I have answered innumerable questions and given extensive replies. I have nothing further to add.",1988-06-23,Oral Answers to Questions &#8212; Prime Minister: Mr. Charles Powell,19284,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.44,-0.38,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
